Timestamp,Data,Data Size,Workers,Cores,Time (s),Rows,Throughput (rows/s),Driver CPU (%),Driver Memory (%)
2025-03-21 03:56:41,corpus-webis-tldr-17_10pct_5pct,5%,1,2,39.77,19242,483.83,1.8,27.9
2025-03-21 04:19:33,corpus-webis-tldr-17_10pct_5pct,5%,2,2,41.25,19242,466.48,1.9,28
2025-03-21 03:33:53,corpus-webis-tldr-17_10pct_5pct,5%,4,1,50.1,19242,384.08,0.5,27.4
2025-03-21 01:50:40,corpus-webis-tldr-17_10pct_5pct,5%,1,1,50.42,19242,381.6,3.1,27.9
2025-03-21 02:25:04,corpus-webis-tldr-17_10pct_5pct,5%,2,1,50.99,19242,377.38,2.4,27.8
2025-03-21 02:59:35,corpus-webis-tldr-17_10pct_5pct,5%,3,1,54.67,19242,351.95,2.8,27.6
2025-03-21 03:55:30,corpus-webis-tldr-17_10pct_20pct,20%,1,2,114,76952,675.01,1.6,27.6
2025-03-21 04:18:21,corpus-webis-tldr-17_10pct_20pct,20%,2,2,122.53,76952,628,1.1,27.8
2025-03-22 00:49:30,corpus-webis-tldr-17_10pct_60pct,60%,4,4,150.74,231388,1535,0.006,0.285
2025-03-22 00:46:41,corpus-webis-tldr-17_10pct_60pct,60%,3,4,150.99,231388,1532.48,0.014,0.283
2025-03-22 00:43:53,corpus-webis-tldr-17_10pct_60pct,60%,2,4,151.62,231388,1526.1,0.004,0.282
2025-03-22 00:41:03,corpus-webis-tldr-17_10pct_60pct,60%,1,4,152.86,231388,1513.75,0.009,0.286
2025-03-22 00:29:25,corpus-webis-tldr-17_10pct_60pct,60%,1,3,154.98,231388,1493.02,0.004,0.283
2025-03-22 00:38:12,corpus-webis-tldr-17_10pct_60pct,60%,4,3,155.94,231388,1483.79,0.007,0.281
2025-03-22 00:32:22,corpus-webis-tldr-17_10pct_60pct,60%,2,3,158.56,231388,1459.29,0.059,0.287
2025-03-22 00:35:18,corpus-webis-tldr-17_10pct_60pct,60%,3,3,158.83,231388,1456.81,0.006,0.282
2025-03-21 03:53:18,corpus-webis-tldr-17_10pct_40pct,40%,1,2,214.79,154119,717.53,1.4,27.7
2025-03-21 04:16:00,corpus-webis-tldr-17_10pct_40pct,40%,2,2,215.33,154119,715.72,0.8,28.1
2025-03-21 02:23:42,corpus-webis-tldr-17_10pct_20pct,20%,2,1,234.46,76952,328.21,1,27.4
2025-03-21 02:58:08,corpus-webis-tldr-17_10pct_20pct,20%,3,1,238.31,76952,322.9,2.6,27.3
2025-03-21 03:32:32,corpus-webis-tldr-17_10pct_20pct,20%,4,1,240,76952,320.63,0.8,27.8
2025-03-21 01:49:18,corpus-webis-tldr-17_10pct_20pct,20%,1,1,240.72,76952,319.67,0.9,27.6
2025-03-22 00:10:02,corpus-webis-tldr-17_10pct_60pct,60%,1,2,310.91,231388,744.22,0.008,0.281
2025-03-22 00:26:32,corpus-webis-tldr-17_10pct_60pct,60%,4,2,311.06,231388,743.87,0.008,0.284
2025-03-22 00:15:32,corpus-webis-tldr-17_10pct_60pct,60%,2,2,311.79,231388,742.12,0.028,0.287
2025-03-22 00:21:04,corpus-webis-tldr-17_10pct_60pct,60%,3,2,313.77,231388,737.44,0.004,0.285
2025-03-21 03:28:14,corpus-webis-tldr-17_10pct_40pct,40%,4,1,370.94,154119,415.48,1,27.5
2025-03-21 02:19:29,corpus-webis-tldr-17_10pct_40pct,40%,2,1,372.12,154119,414.17,0.6,27.9
2025-03-21 01:44:59,corpus-webis-tldr-17_10pct_40pct,40%,1,1,372.75,154119,413.46,2,27.9
2025-03-21 02:53:51,corpus-webis-tldr-17_10pct_40pct,40%,3,1,373.79,154119,412.32,1.3,27.5
2025-03-21 04:12:06,corpus-webis-tldr-17_10pct_80pct,80%,2,2,415.39,308203,741.96,0.8,27.8
2025-03-21 03:49:25,corpus-webis-tldr-17_10pct_80pct,80%,1,2,420.75,308203,732.5,4.5,27.8
2025-03-21 23:56:40,corpus-webis-tldr-17_10pct_60pct,60%,3,1,451.11,231388,512.93,0.009,0.282
2025-03-21 23:48:50,corpus-webis-tldr-17_10pct_60pct,60%,2,1,452.33,231388,511.55,0.01,0.282
2025-03-21 23:40:59,corpus-webis-tldr-17_10pct_60pct,60%,1,1,453.38,231388,510.36,0.018,0.28
2025-03-22 00:04:32,corpus-webis-tldr-17_10pct_60pct,60%,4,1,454.91,231388,508.65,0.023,0.284
2025-03-21 04:04:53,corpus-webis-tldr-17_10pct,100%,2,2,474.35,384833,811.28,0.9,28.1
2025-03-21 03:42:06,corpus-webis-tldr-17_10pct,100%,1,2,474.82,384833,810.49,2.2,27.6
2025-03-21 02:12:58,corpus-webis-tldr-17_10pct_80pct,80%,2,1,592.6,308203,520.09,0.8,27.6
2025-03-21 02:47:18,corpus-webis-tldr-17_10pct_80pct,80%,3,1,594.8,308203,518.16,0.5,27.1
2025-03-21 03:21:44,corpus-webis-tldr-17_10pct_80pct,80%,4,1,594.9,308203,518.07,2,28.3
2025-03-21 01:38:28,corpus-webis-tldr-17_10pct_80pct,80%,1,1,608.37,308203,506.6,3.8,28.1
2025-03-21 03:11:31,corpus-webis-tldr-17_10pct,100%,4,1,698.07,384833,551.28,0.8,27.6
2025-03-21 02:37:05,corpus-webis-tldr-17_10pct,100%,3,1,702.85,384833,547.53,3,27.3
2025-03-21 02:02:47,corpus-webis-tldr-17_10pct,100%,2,1,709.43,384833,542.45,0.5,27.8
2025-03-21 01:28:02,corpus-webis-tldr-17_10pct,100%,1,1,723.54,384833,531.87,0.7,27.5